source_type,source_id,mentioned_user_id
news,1346517996760666117,65525881
news,1369307525489844228,433733869
news,1369569728541425667,905416143313219584
news,1369547930550611968,60959527
news,1368999602867802126,23409407
news,1369296706836250624,979990943393894400
news,1369030449398509568,14115912
news,1349449506136330241,1573440108
news,1349449506136330241,3246299927
news,1369370948634312710,94054323
news,1369370948634312710,19397785
news,1369400099223207936,15033883
news,1369400099223207936,28785486
news,1369400099223207936,210274185
news,1369400099223207936,1359291159634395137
news,1340027052037169152,189258194
news,1340027052037169152,140943126
news,1340027052037169152,309870370
news,1333791058765901825,3227527560
news,1313864060669026304,721095825850404864
news,1361498566024302597,34036028
news,1369148165471969284,30409200
news,1369148165471969284,807437063519760384
news,1367565667642331136,22317367
news,1341859235756453889,1225827728605241345
news,1341859235756453889,1197013660163555328
news,1331046811704958985,1584051084
news,1250915381646176262,1584051084
news,1250915381646176262,120306775
news,1368855703612448768,3647538858
news,1368855703612448768,1608788910
news,1366212322436423682,985916593065476096
news,1366212322436423682,63296944
news,1366212322436423682,758041765601431552
news,1120471100532625410,96529840
news,1368840460198838272,43312428
news,1248277743118086144,3385978571
news,1248277743118086144,125837378
news,1248277743118086144,16014870
news,1248277743118086144,2908107542
news,1248251408333172738,3385978571
news,1248251408333172738,125837378
news,1248251408333172738,16014870
news,1248251408333172738,2908107542
news,1369169111478005763,30409200
news,1369169111478005763,14415152
news,1369169111478005763,14316789
news,1369037334885265408,176895950
news,1366239727402196996,4185877812
news,1362129662336450560,1498993086
news,1366242438717661187,42252577
news,1329121235423297537,886959980254871552
news,1367214933423706113,1227725047369887744
news,1367214933423706113,113560280
news,1368741071870562307,83266010
news,1368741071870562307,82652901
news,1368741071870562307,431765364
news,1363171557250596864,89090040
news,1369307789932265473,33792634
news,1307034079381065732,43264227
news,1307034079381065732,228794007
news,1356766464162762754,948444535
news,1322130577684942848,253209941
news,1369649450688409604,15425183
news,1364961278729551872,14115912
news,1369075112432046081,294534649
news,1283912982200631298,1237113745836572672
news,1283912982200631298,175098387
news,1283912982200631298,1217168433223090176
news,1283912982200631298,1569791546
news,1303840025000509448,746079076683743236
news,1303840025000509448,2893511188
news,1369320575945019399,15734027
news,1367133454241046531,16143542
news,1369357633283620870,32039073
news,1369368976128679940,14074418
news,1369148225433788417,394654669
news,1369533603194040320,26202347
news,1368978600964349955,2538476593
news,1369500754000699392,28785486
news,1369500754000699392,1359291159634395137
news,1369475595466375169,218647820
news,1369475595466375169,1229818150381899776
news,1340976808989241344,999720386014019584
news,1368776591388647424,1378000488
news,1368776591388647424,23707663
news,1368776591388647424,742107732
news,1285629613067038720,257548783
news,1152351180225335296,3154252605
news,1152351180225335296,131482972
news,1272336376927666176,3912022947
news,1272336376927666176,329631801
news,1151605021345083392,102154232
news,1151605021345083392,101798589
news,1151605021345083392,3154252605
news,1151605021345083392,131482972
news,1151605021345083392,863172565786705920
news,1151605021345083392,1286087420
news,1265629710941388800,89090040
news,1265629710941388800,15635604
news,1362484293650567168,3057968236
news,1368744769686540290,3035225852
news,1359943678354092032,99261158
news,1306401710386982912,74580436
news,1306401710386982912,27147528
news,1359973359568625670,2526757508
news,1359973359568625670,154280902
news,1357452896976179201,1232783237623119872
news,1272338362909655040,3912022947
news,1365407295384018947,1321261939
news,1356264437729124353,131305850
news,1367114880378146824,17229809
news,1152354497189965824,102154232
news,1364321423901085698,2962731560
news,1368984433026596867,1173903110
news,1369521918412472320,1348663449736376322
news,1369181189932777474,58119724
news,425668533293289472,2176998871
news,425668533293289472,65289952
news,1287526789707776000,15635604
news,1287526789707776000,1336879565650747392
news,1291859496826843137,26981455
news,1258788139159613441,166196682
news,1252286536738934786,1004804740105035777
news,1369414843720208384,361270172
