diversity_score,sentiment_score,reply_count,author_id,domains,quote_count,retweet_count,tokens,entities,urls,context_score,like_count,impression_count,item_id,created_at,hashtags,mentions,recency_score
1.0,-0.2207013666629791,0.00043487303598101684,16973333,{'Notícias'},0.0003779159652317312,0.00010209603152725454,"{'bezos', 'jeff', '2030', 'multifariousness', 'expend', 'climate', 'along', 'aside'}",{'Do Mundo'},{'https://t.co/fur4kbcxiw'},0.2269234840206733,6.285039092943158e-05,0.00024443385591735854,1369578871478235143,2021-03-10 09:20:23+00:00,,,0.9542530521428833
1.0,-0.1216708421707153,7.563009321408988e-05,28785486,{'Notícias'},0.0,0.0002654496819708618,"{'defendant', 'remuneration'}",{'Do Mundo'},{'https://t.co/ogo53o23uw'},0.0,6.970679721264231e-05,0.0001026966430993985,1369382859534897161,2021-03-09 20:21:30+00:00,,,0.9388935936420439
0.8333333333333334,-0.2143415212631225,0.00011344513982113482,28785486,{'Notícias'},0.0,0.00010209603152725454,"{'among', 'population', 'inoculation', 'substantiate', 'annunciate'}",{'Do Mundo'},{'https://t.co/qmhxkrz7gc'},0.1616223411205797,5.3708515885150626e-05,6.7312421808385e-05,1370128693662785544,2021-03-11 21:45:10+00:00,,,0.9986907883219115
1.0,-0.2206763327121734,0.001285711584639528,1367531,{'Notícias'},0.0003779159652317312,0.0002552400788181364,"{'police', 'necessitate', 'along', 'soundbox', 'workplace', 'muliebrity'}",{'Do Mundo'},{'https://t.co/kdxttaz5rf'},0.2095679211864677,0.0001851229696466894,0.0005259976495840213,1369037711324119046,2021-03-08 21:30:00+00:00,,,0.9124463026511868
1.0,-0.1553539931774139,9.453761651761236e-05,5988062,{'Notícias'},6.871199367849658e-05,0.00018377285674905816,"{'necessitate', 'substantiate', 'endorsement', 'prognosticate'}",{'Do Mundo'},{'https://t.co/xmew1oftbp'},0.0,3.771023455765895e-05,9.618317537570651e-05,1369271770960850949,2021-03-09 13:00:04+00:00,,{'869308903'},0.9302986151842167
0.9230769230769232,-0.1698968708515167,0.00022689027964226965,14173315,{'Notícias'},0.0003435599683924829,0.0010515891247307218,"{'anyone', 'scarcely', 'sixteen', 'gov', 'prerequisite', 'experience', 'become', 'eligibility', 'hypothecate', 'dunleavy', 'vaccinum', 'workplace'}",{'Do Mundo'},{'https://t.co/3dvmdfkk4u'},0.1265911712473686,0.000659357737568764,0.0005703492775835596,1369511733975515142,2021-03-10 04:53:36+00:00,,,0.9489640386796012
0.9444444444444444,0.0311402976512908,1.890752330352247e-05,621583,{'Notícias'},3.435599683924829e-05,0.0,"{'hither', 'efficiency', 'belatedly', 'nvidia', 'excavation', 'merely', 'betray', 'ethereum', 'indicate', 'mine', 'deliberately', 'hypothecate', 'substantiate', 'foreshorten', 'waggle', 'aside', 'testament'}",{'Tecnologia'},,0.1153372589630211,2.2854687610702394e-06,1.388724722596025e-05,1362776603047165957,2021-02-19 14:50:35+00:00,,"{'2464301418', '6269352', '266908809', '172724148'}",0.5433795466826867
0.875,-0.1492411196231842,0.00013235266312465729,14293310,{'Notícias'},0.00013742398735699316,0.00014293444413815637,"{'straightaway', 'newfangled', 'sympathize', 'mightiness', 'whether', 'undecipherable', 'beyond', 'substantiate', 'equivalence', 'corresponding', 'protestation', 'aside', 'merely', 'testament'}",{'Do Mundo'},{'https://t.co/0adkrcfarw'},0.1228434907103266,5.8279453407291105e-05,0.00011774763700677447,1369048387815899139,2021-03-08 22:12:26+00:00,,{'23984477'},0.9132532871742732
1.0,-0.1764643490314483,0.0,807095,{'Notícias'},0.0,0.0001327248409854309,"{'subsister', 'sympathize', 'approximately', 'adolescent', 'accomplishment', 'subspecies'}",{'Do Mundo'},{'https://t.co/siosoypcc4'},0.0,0.00010056062548709053,5.832136661813036e-05,1369355243406954501,2021-03-09 18:31:46+00:00,,,0.9367496301685775
1.0,-0.1389772295951843,0.0002457978029457921,11856342,{'Notícias'},0.0006184079431064693,0.0012762003940906819,"{'straightaway', 'testament', 'weekend', 'experience', 'conferrer', 'kamara', 'substantiate', 'subspecies'}",{'Esportes'},{'https://t.co/ntkb3rygnf'},0.1783512149021876,0.001193014693278665,0.0008333552083554021,1362074171832958980,2021-02-17 16:19:23+00:00,,"{'1343659229106876416', '560350106', '20847350', '39814938', '1652035698', '49153854'}",0.5126831724215114
